code,name_zh,name_en,name_pinyin,alpha,level,latitude,longitude
110000,北京市,Beijing,,BJ,1,39.9081726,116.3979471
110100,市辖区,City area,Beijing shixiaqu,,2,,
110101,东城区,Beijing: Dongcheng qu,Beijing: Dongcheng qu,,3,39.9351199,116.4093947
110102,西城区,Beijing: Xicheng qu,Beijing: Xicheng qu,,3,39.9351775,116.3638616
110105,朝阳区,Beijing: Chaoyang qu,Beijing: Chaoyang qu,,3,39.9527472,116.4977252
110106,丰台区,Beijing: Fengtai qu,Beijing: Fengtai qu,,3,39.8307687,116.2682462
110107,石景山区,Beijing: Shijingshan qu,Beijing: Shijingshan qu,,3,39.933779,116.1843467
110108,海淀区,Beijing: Haidian qu,Beijing: Haidian qu,,3,40.0222002,116.219945
110109,门头沟区,Beijing: Mentougou qu,Beijing: Mentougou qu,,3,39.9956735,115.797379
110111,房山区,Beijing: Fangshan qu,Beijing: Fangshan qu,,3,39.7161498,115.8388889
110112,通州区,,,,3,39.8137941,116.7393494
110113,顺义区,,,,3,40.159271,116.7279768
110114,昌平区,,,,3,40.2105317,116.1764824
110115,大兴区,,,,3,39.6365467,116.4718795
110116,怀柔区,,,,3,40.6455941,116.5880084
110117,平谷区,,,,3,40.204075,117.1602738
110200,县,County,Beijing shixiaxian,,2,,
110228,密云县,Miyun,Miyun,,3,40.5088887,117.0934224
110229,延庆县,Yanqing,Yanqing,,3,40.526351,116.154896
120000,天津市,Tianjin,,TJ,1,39.1038561,117.2523808
120100,市辖区,City area,Tianjin shixiaqu,,2,,
120101,和平区,Tianjin: Heping qu,Tianjin: Heping qu,,3,39.119648,117.1986401
120102,河东区,Tianjin: Hedong qu,Tianjin: Hedong qu,,3,39.1210713,117.2568977
120103,河西区,Tianjin: Hexi qu,Tianjin: Hexi qu,,3,39.0838301,117.2356224
120104,南开区,Tianjin: Nankai qu,Tianjin: Nankai qu,,3,39.107128,117.1532679
120105,河北区,Tianjin: Hebei qu,Tianjin: Hebei qu,,3,39.1618784,117.2140682
120106,红桥区,Tianjin: Hongqiao qu,Tianjin: Hongqiao qu,,3,39.1663205,117.1602416
120110,东丽区,Tianjin: Dongli qu,Tianjin: Dongli qu,,3,39.1204804,117.4016726
120111,西青区,Tianjin: Xiqing qu,Tianjin: Xiqing qu,,3,39.0002343,117.1217895
120112,津南区,Tianjin: Jinnan qu,Tianjin: Jinnan qu,,3,38.9608437,117.3934865
120113,北辰区,Tianjin: Beichen qu,Tianjin: Beichen qu,,3,39.2567314,117.1766567
120114,武清区,,,,3,39.4223536,117.0672548
120115,宝坻区,,,,3,39.5961733,117.4242568
120116,滨海新区,,,,3,,
120200,县,County,Tianjin shixiaxian,,2,,
120221,宁河县,,,,3,39.3865823,117.6742923
120223,静海县,Jinghai,Jinghai,,3,38.8266031,116.9773901
120225,蓟县,Ji xian,Ji xian,,3,40.0026596,117.473706
130000,河北省,Hebei,,HE,1,38.0451279,114.4897766
130100,石家庄市,Shijiazhuang shi,Shijiazhuang shi,SJW,2,38.0741259,114.4892442
130101,市辖区,City area,Shijiazhuang shixiaqu,,3,,
130102,长安区,Shijiazhuang: Chang'an qu,Shijiazhuang: Chang'an qu,,3,33.9910854,108.902683
